Localité;ID;Code postal;ssCommune;Sous-commune;Commune principale;Province;;;;;;;;;;;;;;;;;;;;;
Zétrud-Lumay;1358;1370;VRAI;Oui;JODOIGNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Couture-Saint-Germain;1359;1380;VRAI;Oui;LASNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Lasne-Chapelle-Saint-Lambert;1360;1380;VRAI;Oui;LASNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Maransart;1361;1380;VRAI;Oui;LASNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Ohain;1362;1380;VRAI;Oui;LASNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Plancenoit;1363;1380;VRAI;Oui;LASNE;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Archennes;1364;1390;VRAI;Oui;GREZ-DOICEAU;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Biez;1365;1390;VRAI;Oui;GREZ-DOICEAU;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Bossut-Gottechain;1366;1390;VRAI;Oui;GREZ-DOICEAU;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Grez-Doiceau;1367;1390;FAUX;Non;GREZ-DOICEAU;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Nethen;1368;1390;VRAI;Oui;GREZ-DOICEAU;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Monstreux;1400;1400;VRAI;Oui;NIVELLES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Nivelles;1401;1400;FAUX;Non;NIVELLES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Baulers;1402;1401;VRAI;Oui;NIVELLES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Thines;1403;1402;VRAI;Oui;NIVELLES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Bornival;1404;1404;VRAI;Oui;NIVELLES;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Waterloo;1405;1410;FAUX;Non;WATERLOO;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Braine-L'Alleud;1406;1420;FAUX;Non;BRAINE-L'ALLEUD;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Ophain-Bois-Seigneur-Isaac;1407;1421;VRAI;Oui;BRAINE-L'ALLEUD;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Lillois-Witterzée;1408;1428;VRAI;Oui;BRAINE-L'ALLEUD;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Bierghes;1409;1430;VRAI;Oui;REBECQ;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Quenast;1410;1430;VRAI;Oui;REBECQ;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Rebecq-Rognon;1411;1430;VRAI;Oui;REBECQ;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
Corbais;1412;1435;VRAI;Oui;MONT-SAINT-GUIBERT;BRABANT WALLON;;;;;;;;;;;;;;;;;;;;;
